통,반,법정동,토큰
13,2,신천동,839-1~839-13
15,1,신천동,835-1~835-21
15,2,신천동,835-22~835-31
15,3,신천동,836-1~836-4
15,4,신천동,836-6~836-9
18,1,신천동,817-1~3ㆍ14~16 외 기타지역
18,5,신천동,819-1~819-14
18,6,신천동,820-1~820-7
20,1,신천동,814-1~816-8
20,2,신천동,814-9~814-15
20,3,신천동,815-1~815-13
20,4,신천동,815-15~815-29
20,5,신천동,816-1~816-11
20,6,신천동,816-12~816-24
21,1,신천동,823-1~823-12ㆍ26ㆍ27
21,2,신천동,823-13~823-24
23,5,신천동,845-1~845-18
23,6,신천동,845-19~845-32
28,8,신천동,852-1~852-19
28,9,신천동,853-1~853-8
29,1,신천동,856-1~856-20
31,2,신천동,850-1~850-4
31,3,신천동,850-5~850-13
31,4,신천동,849-1~849-12
31,5,신천동,851-1~851-4
31,6,신천동,851-5~851-13
32,3,신천동,859-1~859-11
34,10,신천동,864-1~864-3
37,4,신천동,873-1~873-10
37,5,신천동,873-11~873-18
37,6,신천동,874-1~874-15
37,7,신천동,875-1~875-22
