통,유형,사유
4,일반,지적도에 해당 지번 없음
5,일반,지적도에 해당 지번 없음
6,일반,지적도에 해당 지번 없음
7,아파트,표에 지번 없음/지적도에 없음(아파트 단지명 등)
9,아파트,표에 지번 없음/지적도에 없음(아파트 단지명 등)
11,일반,지적도에 해당 지번 없음
12,아파트,표에 지번 없음/지적도에 없음(아파트 단지명 등)
13,일반,지적도에 해당 지번 없음
15,일반,지적도에 해당 지번 없음
16,아파트,표에 지번 없음/지적도에 없음(아파트 단지명 등)
17,일반,지적도에 해당 지번 없음
18,일반,지적도에 해당 지번 없음
20,일반,지적도에 해당 지번 없음
21,아파트,표에 지번 없음/지적도에 없음(아파트 단지명 등)
22,일반,지적도에 해당 지번 없음
23,아파트,표에 지번 없음/지적도에 없음(아파트 단지명 등)
24,아파트,표에 지번 없음/지적도에 없음(아파트 단지명 등)
25,일반,지적도에 해당 지번 없음
26,아파트,표에 지번 없음/지적도에 없음(아파트 단지명 등)
27,일반,지적도에 해당 지번 없음
28,아파트,표에 지번 없음/지적도에 없음(아파트 단지명 등)
29,아파트,표에 지번 없음/지적도에 없음(아파트 단지명 등)
30,일반,지적도에 해당 지번 없음
33,일반,지적도에 해당 지번 없음
37,일반,지적도에 해당 지번 없음
39,일반,지적도에 해당 지번 없음
41,일반,지적도에 해당 지번 없음
44,일반,지적도에 해당 지번 없음
45,아파트,표에 지번 없음/지적도에 없음(아파트 단지명 등)
46,일반,지적도에 해당 지번 없음
