_dong,_jib,통
거모동,1771-7,25.0
거모동,1771-6,25.0
거모동,1771-5,25.0
거모동,1771-4,25.0
거모동,1771-3,25.0
거모동,1771-2,25.0
거모동,1771-1,25.0
거모동,1766-4,14.0
거모동,1765-5,14.0
거모동,1744-13,1.0
거모동,1744-12,1.0
거모동,1744-11,1.0
거모동,1744-10,1.0
거모동,1744-9,1.0
거모동,1744-8,1.0
거모동,1744-7,1.0
거모동,1744-6,1.0
거모동,1744-5,1.0
거모동,1744-4,1.0
거모동,1744-3,1.0
거모동,1744-2,1.0
거모동,1744-1,1.0
거모동,1733-10,1.0
거모동,1733-9,1.0
거모동,1733-8,1.0
거모동,1733-7,1.0
거모동,1733-6,1.0
거모동,1733-5,1.0
거모동,1733-4,1.0
거모동,1733-3,1.0
거모동,1733-2,1.0
거모동,1733-1,1.0
거모동,612-1,23.0
